 ,Signup_Date,Cancel_Date,Plan_Type,Country,Industry,Monthly_Recurring_Revenue,Total_Contract_Value,Payment_Method,Currency,Churned,Customer Status,Is_Active,Active Months,Churn_Reason,NPS_Score,NPS_Scrore_Clean,Support_Tickets_Opened,Acquisition_Channel,Is_Referral_Customer,Region,Cohort_Month,Column1
CUST0001,2023-04-01,,Enterprise,United States,EdTech,199,2985,Wire,USD,No,Active,1,14,Not Provided,,No Score,1,Paid,No,Other,2023-04,12/31/2024
CUST0002,2023-05-17,,Pro,Germany,E-commerce,79,1027,PayPal,EUR,No,Active,1,13,Not Provided,4,4,0,Organic,Yes,Asia,2023-05,
CUST0003,2024-04-29,,Basic,United States,Fintech,29,58,Wire,USD,No,Active,1,2,Not Provided,5,5,0,Organic,No,Other,2024-04,
CUST0004,2023-08-16,,Basic,Germany,HealthTech,29,290,Wire,GBP,No,Active,1,10,Not Provided,,No Score,1,Paid,No,Asia,2023-08,2024-06-30
CUST0005,2023-12-10,,Basic,India,Real Estate,29,174,PayPal,EUR,No,Active,1,6,Not Provided,,No Score,0,Organic,No,Africa,2023-12,
CUST0006,2024-04-08,,Enterprise,Canada,Fintech,199,398,Card,EUR,No,Active,1,2,Not Provided,,No Score,1,Organic,No,Europe,2024-04,
CUST0007,2024-01-11,,Pro,United States,E-commerce,79,395,Wire,USD,No,Active,1,5,Not Provided,,No Score,1,Referral,Yes,Asia,2024-01,
CUST0008,2023-05-03,2023-09-08,Pro,Canada,E-commerce,79,316,PayPal,USD,Yes,Churned,0,4,Pricing,,No Score,2,Organic,No,Asia,2023-05,
CUST0009,2023-09-15,,Basic,United States,E-commerce,29,261,Card,EUR,No,Active,1,9,Not Provided,,No Score,0,Organic,No,Asia,2023-09,
CUST0010,2024-05-28,,Basic,Canada,E-commerce,29,29,Card,EUR,No,Active,1,1,Not Provided,0,0,0,Organic,No,Asia,2024-05,
CUST0011,2023-04-17,2023-05-18,Enterprise,Nigeria,Marketing,199,199,PayPal,EUR,Yes,Churned,0,1,Other,,No Score,2,Organic,Yes,North America,2023-04,
CUST0012,2023-01-22,2024-02-08,Basic,United Kingdom,Marketing,29,348,Card,GBP,Yes,Churned,0,12,Pricing,4,,0,Paid,No,Other,2023-01,
CUST0013,2024-04-17,,Basic,Australia,E-commerce,29,58,Card,EUR,No,Active,1,2,Not Provided,4,4,0,Partnership,No,Europe,2024-04,
CUST0014,2023-07-23,,Basic,United States,HealthTech,29,319,PayPal,GBP,No,Active,1,11,Not Provided,,No Score,0,Organic,No,Asia,2023-07,
CUST0015,2023-09-05,,Pro,Canada,EdTech,79,711,Wire,USD,No,Active,1,9,Not Provided,8,8,1,Referral,No,Africa,2023-09,
CUST0016,2023-08-20,,Basic,India,Marketing,29,290,Wire,GBP,No,Active,1,10,Not Provided,,No Score,1,Organic,No,Asia,2023-08,
CUST0017,2023-01-20,2023-10-05,Basic,Canada,HealthTech,29,232,Card,GBP,Yes,Churned,0,8,Switched to Competitor,,No Score,0,Organic,No,Europe,2023-01,
CUST0018,2023-08-21,2024-03-05,Pro,United States,E-commerce,79,474,PayPal,USD,Yes,Churned,0,6,Not Provided,,No Score,1,Paid,No,Asia,2023-08,
CUST0019,2024-01-08,,Pro,United States,Fintech,79,395,Wire,USD,No,Active,1,5,Not Provided,,No Score,0,Organic,No,Africa,2024-01,
